	Tumor Tum_Ph1_rep1	Tumor Tum_Ph1_rep2	Tumor Tum_Ph1_rep3	Tumor Tum_Ph1_rep4	Tumor Tum_Ph1_rep5	Tumor Tum_Ph1_rep6	Tumor Tum_Ph1_rep7	Tumor Tum_Ph1_rep8	Tumor Tum_Ph1_rep9	Tumor Tum_Ph1_rep10	Tumor Tum_Ph2_rep1	Tumor Tum_Ph2_rep2	Tumor Tum_Ph2_rep3	Tumor Tum_Ph2_rep4	Tumor Tum_Ph2_rep5	Tumor Tum_Ph2_rep6	Tumor Tum_Ph2_rep7	Tumor Tum_Ph2_rep8	Tumor Tum_Ph2_rep9	Tumor Tum_Ph2_rep10	Tumor Tum_Ph2_rep11	Tumor Tum_Ph2_rep12	Tumor Tum_Ph2_rep13	Tumor Tum_Ph2_rep14	Tumor Tum_Ph2_rep15	Tumor Tum_Ph3_rep1	Tumor Tum_Ph3_rep2	Tumor Tum_Ph3_rep3	Tumor Tum_Ph3_rep4	Tumor Tum_Ph4_rep1	Tumor Tum_Ph4_rep2
1007_s_at	1597.011205	3593.830645	1051.214139	917.8435116	1310.146721	1255.856805	754.2896976	766.4316439	1101.018229	1295.743418	1387.32543	1425.754964	1176.900925	131.7758583	894.2720935	690.7281154	1089.637791	1095.936474	3731.950202	1137.713889	98.93481704	2494.365303	619.9912506	376.2918926	1188.559235	1396.661935	624.2147315	1114.1191	586.5302613	1066.527596	546.6085703
1053_at	288.5440069	98.48745169	148.5117045	205.3975815	138.9829362	161.1081568	91.7544018	147.2137822	141.7806375	173.4093409	119.5066758	102.2055948	122.0545251	154.1660838	127.9897212	160.7105138	212.135508	145.9218478	153.3759994	421.4609308	211.5196115	199.7714606	149.4156325	103.8447081	116.2368063	185.9673626	112.9184091	277.6163687	193.0550604	167.7061155	216.1205823
117_at	55.87129207	47.14051769	91.90713181	77.45322247	86.59503326	89.79998376	75.87447469	99.09856655	80.49860996	154.7576009	85.4690441	64.46055461	103.9945212	279.880463	91.44562169	76.75212095	146.2328765	127.2133953	77.34373709	103.9424414	184.3728473	85.18057898	82.10022604	70.18921376	55.33979337	181.542793	57.08654421	83.15064106	109.626358	58.36347404	145.6096453
121_at	154.2642706	143.3961585	167.0636682	125.9810005	140.5848815	168.9496381	144.8173958	170.057688	318.3832961	228.4848531	177.914594	150.7631878	197.6569615	242.835329	164.4622867	222.3430911	134.735052	137.5017253	283.9404858	134.5011102	180.4339725	289.4177558	225.4608845	281.3096472	351.942593	197.1525874	141.8676514	179.8941984	300.9969435	119.3072639	139.247312
1294_at	146.9819	94.58166927	175.3800084	125.3727661	232.7394272	318.9081002	166.2373523	171.0015201	162.8412743	215.5219101	165.2701205	107.5168803	199.5225543	165.596355	174.3681921	183.0083526	257.0973296	206.5244946	325.3606365	149.3718276	222.2128359	186.1896817	91.73802587	156.1735736	76.87772272	185.3546687	257.1975543	244.5552315	94.60355783	136.3277561	154.1794276
1405_i_at	319.9725051	41.82537844	220.6944634	106.2199524	287.9822692	263.4440288	329.6259226	276.8692101	191.440902	463.6281913	263.7516838	155.1736453	105.1148249	352.8470911	272.2436927	548.4091573	146.2219828	276.2426822	19.14888667	1170.85325	119.7115869	56.5807616	43.64507082	948.0180693	45.67468664	125.3469445	390.8596264	376.9661769	77.36125982	60.87373727	58.95986426
1438_at	1927.703604	46.80149935	172.9066597	57.68649926	70.4594263	91.10317326	106.8927515	98.05019388	106.0381028	273.9362894	520.335199	74.81905485	77.95727619	63.33627318	94.2124632	161.9984743	77.36124368	96.17285823	107.4687163	528.5873379	67.69884724	82.86198746	81.07993668	57.39280743	113.4632056	109.5848905	141.758327	71.10769224	82.44529643	127.7048294	84.16257545
1487_at	194.0625312	182.7343113	116.0006142	107.177682	95.83862502	154.727206	114.5722991	132.6936323	97.30987622	124.6764219	111.8605428	228.8101197	120.7418963	173.9860819	115.5721246	105.7901216	139.7354613	121.781699	179.0341282	126.3999752	199.0500782	127.6495265	126.229608	98.47708531	148.098751	198.6296272	102.6394239	185.1209232	220.3495242	104.2071345	132.3852709
1552256_a_at	621.9107695	354.8910792	187.2208254	128.4212727	270.537969	292.0476569	171.9887423	195.8914109	114.6136688	376.7336223	470.8121923	69.1074066	147.1066108	197.9896167	230.8621554	223.4095004	282.023057	165.3520285	299.8527773	289.1518407	309.0320787	263.1389537	129.945905	63.37779433	136.0657954	435.2317448	139.0254549	345.7198452	78.46129314	131.2877581	150.0753498
1552257_a_at	602.949833	538.1077762	286.1030797	293.0991555	360.526145	700.5799763	203.2368288	268.2198452	409.722815	197.2040412	272.6146597	548.787359	377.3536205	199.3521505	204.4855388	278.5646729	666.0464791	383.1723926	278.3820802	369.0398858	268.7994765	181.3946571	1103.680158	235.392259	255.4387863	404.1671941	176.5585776	479.31339	360.8187547	279.3757335	593.7749375

